13-Apr-21 12:34:50.874 [Solver] INFO  util.Progress> [Solving problem ...]
13-Apr-21 12:34:50.875 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.termination.GeneralTerminationCondition
13-Apr-21 12:34:50.877 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.solution.GeneralSolutionComparator
13-Apr-21 12:34:50.878 [Solver] INFO  solver.Solver> Using org.cpsolver.exam.heuristics.ExamNeighbourSelection
13-Apr-21 12:34:50.883 [Solver] INFO  heuristics.StandardNeighbourSelection> Using org.cpsolver.ifs.heuristics.GeneralValueSelection
13-Apr-21 12:34:50.884 [Solver] INFO  heuristics.StandardNeighbourSelection> Using org.cpsolver.ifs.heuristics.GeneralVariableSelection
13-Apr-21 12:34:50.900 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.perturbations.DefaultPerturbationsCounter
13-Apr-21 12:34:50.911 [Solver] INFO  util.JProf> Using wall time.
13-Apr-21 12:34:51.444 [Solver] INFO  solver.Solver> Initial solution:[
    Assigned variables: 0.00% (0/832)
    Iteration: 0
    Number of Exams: 832
    Number of Exams Requiring Alt Seating: 832
    Number of Periods: 64
    Number of Rooms: 32
    Number of Small Exams (Exams W/O Room): 0
    Number of Student Exams: 0
    Number of Students: 13642
    Number of Students with 1 meeting: 284
    Number of Students with 10 or more meetings: 4559
    Number of Students with 2 meetings: 242
    Number of Students with 3 meetings: 150
    Number of Students with 4 meetings: 131
    Number of Students with 5 meetings: 263
    Number of Students with 6 meetings: 613
    Number of Students with 7 meetings: 1188
    Number of Students with 8 meetings: 2465
    Number of Students with 9 meetings: 3747
    Overall solution value: 0.00
    Time: 0.00 min
  ]
13-Apr-21 12:34:51.445 [Solver] INFO  exam.Test> **BEST[0]** V:0/832 - T:0.00 [@P:�, BTB:0, DC:0, M2D:0, PI:�, PP:0, PS:�, RP:0, RSd:�, RSp:0, RSz:�, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.040 [Solver] INFO  exam.Test> **BEST[85]** V:85/832 - T:30600.70 [@P:�, BTB:0, DC:29, M2D:2, PI:11.98, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:81.54, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.045 [Solver] INFO  exam.Test> **BEST[86]** V:86/832 - T:30600.70 [@P:�, BTB:0, DC:29, M2D:2, PI:11.87, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:80.95, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.049 [Solver] INFO  exam.Test> **BEST[87]** V:87/832 - T:30600.71 [@P:�, BTB:0, DC:29, M2D:2, PI:11.99, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:80.57, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.053 [Solver] INFO  exam.Test> **BEST[88]** V:88/832 - T:30600.71 [@P:�, BTB:0, DC:29, M2D:2, PI:12.08, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:80.07, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.058 [Solver] INFO  exam.Test> **BEST[89]** V:89/832 - T:30600.71 [@P:�, BTB:0, DC:29, M2D:2, PI:12, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:79.61, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.061 [Solver] INFO  exam.Test> **BEST[90]** V:90/832 - T:30600.72 [@P:�, BTB:0, DC:29, M2D:2, PI:12.12, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:78.93, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.064 [Solver] INFO  exam.Test> **BEST[91]** V:91/832 - T:30600.72 [@P:�, BTB:0, DC:29, M2D:2, PI:12.23, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:78.09, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.069 [Solver] INFO  exam.Test> **BEST[92]** V:92/832 - T:30600.72 [@P:�, BTB:0, DC:29, M2D:2, PI:12.42, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:77.65, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.075 [Solver] INFO  exam.Test> **BEST[93]** V:93/832 - T:30600.72 [@P:�, BTB:0, DC:29, M2D:2, PI:12.56, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:77.11, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.081 [Solver] INFO  exam.Test> **BEST[94]** V:94/832 - T:30600.73 [@P:�, BTB:0, DC:29, M2D:2, PI:12.74, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:76.62, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.084 [Solver] INFO  exam.Test> **BEST[95]** V:95/832 - T:30600.73 [@P:�, BTB:0, DC:29, M2D:2, PI:12.69, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:76.17, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.091 [Solver] INFO  exam.Test> **BEST[96]** V:96/832 - T:30600.73 [@P:�, BTB:0, DC:29, M2D:2, PI:12.89, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:75.69, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.096 [Solver] INFO  exam.Test> **BEST[97]** V:97/832 - T:30600.73 [@P:�, BTB:0, DC:29, M2D:2, PI:13.09, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:74.97, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.099 [Solver] INFO  exam.Test> **BEST[98]** V:98/832 - T:30600.74 [@P:�, BTB:0, DC:29, M2D:2, PI:13.15, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:74.47, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.103 [Solver] INFO  exam.Test> **BEST[99]** V:99/832 - T:30600.74 [@P:�, BTB:0, DC:29, M2D:2, PI:13.33, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:74.01, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.108 [Solver] INFO  exam.Test> **BEST[100]** V:100/832 - T:30600.74 [@P:�, BTB:0, DC:29, M2D:2, PI:13.43, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:73.67, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.111 [Solver] INFO  exam.Test> **BEST[101]** V:101/832 - T:30600.75 [@P:�, BTB:0, DC:29, M2D:2, PI:13.62, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:73.42, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.115 [Solver] INFO  exam.Test> **BEST[102]** V:102/832 - T:30600.75 [@P:�, BTB:0, DC:29, M2D:2, PI:13.69, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:72.81, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.119 [Solver] INFO  exam.Test> **BEST[103]** V:103/832 - T:30600.75 [@P:�, BTB:0, DC:29, M2D:2, PI:13.8, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:72.55, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.123 [Solver] INFO  exam.Test> **BEST[104]** V:104/832 - T:30600.76 [@P:�, BTB:0, DC:29, M2D:2, PI:13.82, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:72.11, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.127 [Solver] INFO  exam.Test> **BEST[105]** V:105/832 - T:30600.76 [@P:�, BTB:0, DC:29, M2D:2, PI:13.85, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:71.78, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.130 [Solver] INFO  exam.Test> **BEST[106]** V:106/832 - T:30600.76 [@P:�, BTB:0, DC:29, M2D:2, PI:13.93, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:71.57, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.134 [Solver] INFO  exam.Test> **BEST[107]** V:107/832 - T:30600.77 [@P:�, BTB:0, DC:29, M2D:2, PI:13.88, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:71.31, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.138 [Solver] INFO  exam.Test> **BEST[108]** V:108/832 - T:30600.77 [@P:�, BTB:0, DC:29, M2D:2, PI:13.81, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:71.07, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.141 [Solver] INFO  exam.Test> **BEST[109]** V:109/832 - T:30600.78 [@P:�, BTB:0, DC:29, M2D:2, PI:13.78, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:70.87, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.143 [Solver] INFO  exam.Test> **BEST[110]** V:110/832 - T:30600.78 [@P:�, BTB:0, DC:29, M2D:2, PI:13.88, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:70.59, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.145 [Solver] INFO  exam.Test> **BEST[111]** V:111/832 - T:30600.79 [@P:�, BTB:0, DC:29, M2D:2, PI:13.81, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:70.34, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.148 [Solver] INFO  exam.Test> **BEST[112]** V:112/832 - T:30600.79 [@P:�, BTB:0, DC:29, M2D:2, PI:13.88, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:69.73, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.152 [Solver] INFO  exam.Test> **BEST[113]** V:113/832 - T:30600.79 [@P:�, BTB:0, DC:29, M2D:2, PI:14.01, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:69.13, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.160 [Solver] INFO  exam.Test> **BEST[114]** V:114/832 - T:30600.79 [@P:�, BTB:0, DC:29, M2D:2, PI:14.06, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:68.62, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.163 [Solver] INFO  exam.Test> **BEST[115]** V:115/832 - T:30600.79 [@P:�, BTB:0, DC:29, M2D:2, PI:14.09, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:68.18, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.166 [Solver] INFO  exam.Test> **BEST[116]** V:116/832 - T:30600.79 [@P:�, BTB:0, DC:29, M2D:2, PI:14.09, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:67.86, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.170 [Solver] INFO  exam.Test> **BEST[117]** V:117/832 - T:30600.80 [@P:�, BTB:0, DC:29, M2D:2, PI:14.09, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:67.57, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.174 [Solver] INFO  exam.Test> **BEST[118]** V:118/832 - T:30600.80 [@P:�, BTB:0, DC:29, M2D:2, PI:14.03, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:67.03, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.176 [Solver] INFO  exam.Test> **BEST[119]** V:119/832 - T:30600.80 [@P:�, BTB:0, DC:29, M2D:2, PI:13.92, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:66.66, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.177 [Solver] INFO  exam.Test> **BEST[120]** V:120/832 - T:30600.80 [@P:�, BTB:0, DC:29, M2D:2, PI:13.97, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:66.32, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.179 [Solver] INFO  exam.Test> **BEST[121]** V:121/832 - T:30600.80 [@P:�, BTB:0, DC:29, M2D:2, PI:14.01, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:65.9, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.184 [Solver] INFO  exam.Test> **BEST[122]** V:122/832 - T:30600.81 [@P:�, BTB:0, DC:29, M2D:2, PI:14.07, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:65.61, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.189 [Solver] INFO  exam.Test> **BEST[123]** V:123/832 - T:30600.81 [@P:�, BTB:0, DC:29, M2D:2, PI:14.15, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:65.25, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.192 [Solver] INFO  exam.Test> **BEST[124]** V:124/832 - T:30600.81 [@P:�, BTB:0, DC:29, M2D:2, PI:14.1, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:64.8, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.196 [Solver] INFO  exam.Test> **BEST[125]** V:125/832 - T:30600.81 [@P:�, BTB:0, DC:29, M2D:2, PI:14.17, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:64.29, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.200 [Solver] INFO  exam.Test> **BEST[126]** V:126/832 - T:30600.81 [@P:�, BTB:0, DC:29, M2D:2, PI:14.26, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:63.84, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.206 [Solver] INFO  exam.Test> **BEST[127]** V:127/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.35, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:63.77, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.208 [Solver] INFO  exam.Test> **BEST[128]** V:128/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.42, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:63.29, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.212 [Solver] INFO  exam.Test> **BEST[129]** V:129/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.46, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:62.81, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.217 [Solver] INFO  exam.Test> **BEST[130]** V:130/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.54, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:62.34, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.222 [Solver] INFO  exam.Test> **BEST[131]** V:131/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.63, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:61.88, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.224 [Solver] INFO  exam.Test> **BEST[132]** V:132/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.62, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:61.5, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.227 [Solver] INFO  exam.Test> **BEST[133]** V:133/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.77, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:61.11, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.229 [Solver] INFO  exam.Test> **BEST[134]** V:134/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.74, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:60.74, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.232 [Solver] INFO  exam.Test> **BEST[135]** V:135/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.84, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:60.38, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.234 [Solver] INFO  exam.Test> **BEST[136]** V:136/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:14.95, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:59.95, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.236 [Solver] INFO  exam.Test> **BEST[137]** V:137/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:15.07, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:59.59, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.238 [Solver] INFO  exam.Test> **BEST[138]** V:138/832 - T:30600.82 [@P:�, BTB:0, DC:29, M2D:2, PI:15.2, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:59.33, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.240 [Solver] INFO  exam.Test> **BEST[139]** V:139/832 - T:30600.83 [@P:�, BTB:0, DC:29, M2D:2, PI:15.11, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:59.37, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.242 [Solver] INFO  exam.Test> **BEST[140]** V:140/832 - T:30600.83 [@P:�, BTB:0, DC:29, M2D:2, PI:15.18, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.97, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.245 [Solver] INFO  exam.Test> **BEST[141]** V:141/832 - T:30600.84 [@P:�, BTB:0, DC:29, M2D:2, PI:15.11, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.99, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.248 [Solver] INFO  exam.Test> **BEST[142]** V:142/832 - T:30600.85 [@P:�, BTB:0, DC:29, M2D:2, PI:15.02, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:59.13, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.250 [Solver] INFO  exam.Test> **BEST[143]** V:143/832 - T:30600.85 [@P:�, BTB:0, DC:29, M2D:2, PI:15.03, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.9, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.253 [Solver] INFO  exam.Test> **BEST[144]** V:144/832 - T:30600.85 [@P:�, BTB:0, DC:29, M2D:2, PI:15.13, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.58, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.260 [Solver] INFO  exam.Test> **BEST[145]** V:145/832 - T:30600.86 [@P:�, BTB:0, DC:29, M2D:2, PI:15.06, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.68, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.262 [Solver] INFO  exam.Test> **BEST[146]** V:146/832 - T:30600.86 [@P:�, BTB:0, DC:29, M2D:2, PI:15.05, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.47, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.265 [Solver] INFO  exam.Test> **BEST[147]** V:147/832 - T:30600.87 [@P:�, BTB:0, DC:29, M2D:2, PI:14.99, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.48, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.266 [Solver] INFO  exam.Test> **BEST[148]** V:148/832 - T:30600.87 [@P:�, BTB:0, DC:29, M2D:2, PI:14.91, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.62, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.268 [Solver] INFO  exam.Test> **BEST[149]** V:149/832 - T:30600.88 [@P:�, BTB:0, DC:29, M2D:2, PI:15.01, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.4, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.270 [Solver] INFO  exam.Test> **BEST[150]** V:150/832 - T:30600.88 [@P:�, BTB:0, DC:29, M2D:2, PI:14.95, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.57, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.273 [Solver] INFO  exam.Test> **BEST[151]** V:151/832 - T:30600.89 [@P:�, BTB:0, DC:29, M2D:2, PI:14.98, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.64, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.276 [Solver] INFO  exam.Test> **BEST[152]** V:152/832 - T:30600.90 [@P:�, BTB:0, DC:29, M2D:2, PI:14.89, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.67, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.279 [Solver] INFO  exam.Test> **BEST[153]** V:153/832 - T:30600.91 [@P:�, BTB:0, DC:29, M2D:2, PI:14.85, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.78, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.282 [Solver] INFO  exam.Test> **BEST[154]** V:154/832 - T:30600.91 [@P:�, BTB:0, DC:29, M2D:2, PI:14.94, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.49, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.285 [Solver] INFO  exam.Test> **BEST[155]** V:155/832 - T:30600.91 [@P:�, BTB:0, DC:29, M2D:2, PI:15.03, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.53, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.290 [Solver] INFO  exam.Test> **BEST[156]** V:156/832 - T:30600.92 [@P:�, BTB:0, DC:29, M2D:2, PI:15.01, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.63, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.294 [Solver] INFO  exam.Test> **BEST[157]** V:157/832 - T:30600.92 [@P:�, BTB:0, DC:29, M2D:2, PI:15.02, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.3, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.296 [Solver] INFO  exam.Test> **BEST[158]** V:158/832 - T:30600.92 [@P:�, BTB:0, DC:29, M2D:2, PI:15.03, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:58.01, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.298 [Solver] INFO  exam.Test> **BEST[159]** V:159/832 - T:30600.92 [@P:�, BTB:0, DC:29, M2D:2, PI:15.06, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.7, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.300 [Solver] INFO  exam.Test> **BEST[160]** V:160/832 - T:30600.92 [@P:�, BTB:0, DC:29, M2D:2, PI:15.19, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.38, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.303 [Solver] INFO  exam.Test> **BEST[161]** V:161/832 - T:30600.93 [@P:�, BTB:0, DC:29, M2D:2, PI:15.21, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.59, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.308 [Solver] INFO  exam.Test> **BEST[162]** V:162/832 - T:30600.93 [@P:�, BTB:0, DC:29, M2D:2, PI:15.25, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.27, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.310 [Solver] INFO  exam.Test> **BEST[163]** V:163/832 - T:30600.94 [@P:�, BTB:0, DC:29, M2D:2, PI:15.28, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.46, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.313 [Solver] INFO  exam.Test> **BEST[164]** V:164/832 - T:30600.95 [@P:�, BTB:0, DC:29, M2D:2, PI:15.34, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.7, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.315 [Solver] INFO  exam.Test> **BEST[165]** V:165/832 - T:30600.95 [@P:�, BTB:0, DC:29, M2D:2, PI:15.47, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.41, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.317 [Solver] INFO  exam.Test> **BEST[166]** V:166/832 - T:30600.96 [@P:�, BTB:0, DC:29, M2D:2, PI:15.41, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.58, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.319 [Solver] INFO  exam.Test> **BEST[167]** V:167/832 - T:30600.96 [@P:�, BTB:0, DC:29, M2D:2, PI:15.35, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.25, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.321 [Solver] INFO  exam.Test> **BEST[168]** V:168/832 - T:30600.96 [@P:�, BTB:0, DC:29, M2D:2, PI:15.44, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:56.98, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.324 [Solver] INFO  exam.Test> **BEST[169]** V:169/832 - T:30600.97 [@P:�, BTB:0, DC:29, M2D:2, PI:15.36, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:57.21, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.326 [Solver] INFO  exam.Test> **BEST[170]** V:170/832 - T:30600.97 [@P:�, BTB:0, DC:29, M2D:2, PI:15.42, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:56.96, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.328 [Solver] INFO  exam.Test> **BEST[171]** V:171/832 - T:30600.97 [@P:�, BTB:0, DC:29, M2D:2, PI:15.41, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:56.64, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.329 [Solver] INFO  exam.Test> **BEST[172]** V:172/832 - T:30600.98 [@P:�, BTB:0, DC:29, M2D:2, PI:15.45, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:56.51, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.334 [Solver] INFO  exam.Test> **BEST[173]** V:173/832 - T:30600.98 [@P:�, BTB:0, DC:29, M2D:2, PI:15.52, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:56.19, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.338 [Solver] INFO  exam.Test> **BEST[174]** V:174/832 - T:30600.99 [@P:�, BTB:0, DC:29, M2D:2, PI:15.6, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:56.44, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.342 [Solver] INFO  exam.Test> **BEST[175]** V:175/832 - T:30600.99 [@P:�, BTB:0, DC:29, M2D:2, PI:15.7, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:56.17, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:52.346 [Solver] INFO  exam.Test> **BEST[176]** V:176/832 - T:30600.99 [@P:�, BTB:0, DC:29, M2D:2, PI:15.79, PP:0, PS:0, RP:0, RSd:0.01, RSp:140, RSz:55.91, iBTB:0, iDC:0, iM2D:0]
